query_idx,token_idx,itl_ms
1,1,85.11
1,2,82.89
1,3,82.72
1,4,82.49
1,5,85.63
1,6,82.82
1,7,82.82
1,8,84.0
1,9,84.5
1,10,85.36
1,11,82.67
1,12,82.61
1,13,82.44
1,14,87.92
1,15,85.75
1,16,82.7
1,17,84.5
1,18,83.95
1,19,82.69
1,20,0.56
2,1,81.64
2,2,81.25
2,3,81.08
2,4,80.96
2,5,84.58
2,6,81.31
2,7,80.92
2,8,80.75
2,9,81.46
2,10,81.15
2,11,83.68
2,12,81.09
2,13,80.84
2,14,81.76
2,15,81.59
2,16,0.47
3,1,81.26
3,2,80.89
3,3,80.41
3,4,81.11
3,5,80.5
3,6,80.98
3,7,80.86
3,8,81.22
3,9,80.87
3,10,81.33
3,11,81.64
3,12,80.66
3,13,80.53
3,14,83.45
3,15,80.6
3,16,81.06
3,17,82.9
3,18,81.25
3,19,80.62
3,20,81.0
3,21,81.03
3,22,80.99
3,23,81.76
3,24,81.12
3,25,81.62
3,26,80.99
3,27,80.93
3,28,80.71
3,29,80.59
3,30,0.65
4,1,81.47
4,2,80.76
4,3,80.53
4,4,81.5
4,5,80.83
4,6,80.5
4,7,80.94
4,8,80.84
4,9,80.88
4,10,83.96
4,11,80.91
4,12,80.78
4,13,80.51
4,14,80.97
4,15,0.6
5,1,82.91
5,2,83.74
5,3,82.94
5,4,82.41
5,5,86.57
5,6,82.58
5,7,83.03
5,8,87.42
5,9,83.05
5,10,82.67
5,11,88.25
5,12,83.11
5,13,82.89
5,14,85.29
5,15,82.61
5,16,82.67
5,17,86.08
5,18,82.76
5,19,0.5
6,1,83.49
6,2,83.15
6,3,82.81
6,4,83.04
6,5,82.93
6,6,82.89
6,7,82.74
6,8,82.37
6,9,82.4
6,10,81.96
6,11,83.49
6,12,82.93
6,13,83.06
6,14,83.09
6,15,0.54
7,1,99.19
7,2,82.56
7,3,104.54
7,4,83.48
7,5,82.79
7,6,87.74
7,7,82.95
7,8,82.55
7,9,82.47
7,10,83.1
7,11,82.93
7,12,87.26
7,13,82.31
7,14,82.44
7,15,82.54
7,16,82.5
7,17,82.32
7,18,0.5
8,1,82.22
8,2,82.26
8,3,82.14
8,4,82.2
8,5,81.77
8,6,82.14
8,7,82.15
8,8,82.28
8,9,84.55
8,10,81.79
8,11,84.91
8,12,85.23
8,13,81.65
8,14,82.11
8,15,82.22
8,16,81.96
8,17,82.29
8,18,82.14
8,19,82.09
8,20,82.26
8,21,82.38
8,22,81.71
8,23,83.54
8,24,82.49
8,25,82.07
8,26,82.1
8,27,82.02
8,28,82.11
8,29,81.74
8,30,82.23
8,31,81.74
8,32,81.9
8,33,0.56
9,1,82.04
9,2,81.72
9,3,81.27
9,4,81.71
9,5,81.51
9,6,81.22
9,7,81.22
9,8,81.2
9,9,81.51
9,10,82.13
9,11,81.95
9,12,80.84
9,13,81.19
9,14,81.35
9,15,81.44
9,16,81.32
9,17,81.44
9,18,81.5
9,19,81.37
9,20,86.23
9,21,82.39
9,22,82.17
9,23,81.66
9,24,81.18
9,25,81.12
9,26,81.24
9,27,81.5
9,28,81.12
9,29,81.38
9,30,81.21
9,31,81.36
9,32,81.17
9,33,81.64
9,34,80.99
9,35,81.92
9,36,81.25
9,37,81.11
9,38,81.13
9,39,81.18
9,40,80.9
9,41,81.72
9,42,81.32
9,43,81.58
9,44,81.13
9,45,81.19
9,46,81.31
9,47,81.54
9,48,82.5
9,49,81.44
9,50,82.81
9,51,81.09
9,52,81.04
9,53,82.81
9,54,82.4
9,55,81.39
9,56,81.13
9,57,81.02
9,58,81.61
9,59,81.57
9,60,83.05
9,61,81.64
9,62,81.36
9,63,81.33
9,64,81.58
9,65,81.95
9,66,81.4
9,67,81.29
9,68,81.34
9,69,0.61
10,1,83.81
10,2,83.11
10,3,81.27
10,4,81.51
10,5,81.31
10,6,81.82
10,7,81.75
10,8,81.39
10,9,81.76
10,10,81.31
10,11,82.05
10,12,81.83
10,13,81.02
10,14,81.64
10,15,81.56
10,16,81.66
10,17,81.46
10,18,81.31
10,19,80.65
10,20,81.38
10,21,81.96
10,22,81.22
10,23,81.31
10,24,80.96
10,25,81.27
10,26,82.26
10,27,81.26
10,28,81.42
10,29,81.2
10,30,84.15
10,31,83.53
10,32,0.57
11,1,82.08
11,2,81.96
11,3,82.29
11,4,81.96
11,5,82.11
11,6,81.85
11,7,82.13
11,8,82.93
11,9,82.56
11,10,82.76
11,11,81.91
11,12,85.42
11,13,82.44
11,14,82.35
11,15,83.53
11,16,81.94
11,17,81.84
11,18,82.43
11,19,81.87
11,20,82.05
11,21,81.86
11,22,81.98
11,23,81.61
11,24,81.93
11,25,83.35
11,26,82.47
11,27,82.26
11,28,82.06
11,29,81.89
11,30,82.26
11,31,82.15
11,32,82.43
11,33,82.02
11,34,82.12
11,35,82.29
11,36,82.45
11,37,82.21
11,38,82.18
11,39,82.5
11,40,82.45
11,41,84.27
11,42,82.48
11,43,85.33
11,44,82.38
11,45,82.01
11,46,82.02
11,47,81.81
11,48,82.21
11,49,98.59
11,50,81.58
11,51,81.42
11,52,81.51
11,53,80.89
11,54,82.68
11,55,80.95
11,56,81.06
11,57,81.22
11,58,81.51
11,59,81.38
11,60,81.31
11,61,81.47
11,62,80.98
11,63,81.4
11,64,81.09
11,65,81.39
11,66,81.41
11,67,80.69
11,68,81.19
11,69,84.46
11,70,82.05
11,71,81.65
11,72,83.56
11,73,81.0
11,74,81.18
11,75,81.89
11,76,81.69
11,77,84.54
11,78,81.26
11,79,83.92
11,80,82.93
11,81,86.44
11,82,84.14
11,83,85.68
11,84,84.66
11,85,85.78
11,86,83.28
11,87,83.44
11,88,81.63
11,89,82.77
11,90,81.87
11,91,83.91
11,92,81.26
11,93,81.23
11,94,83.43
11,95,81.12
11,96,81.42
11,97,82.85
11,98,0.48
12,1,82.97
12,2,81.36
12,3,81.02
12,4,83.58
12,5,81.38
12,6,81.64
12,7,83.52
12,8,81.16
12,9,81.16
12,10,82.96
12,11,82.68
12,12,80.85
12,13,83.38
12,14,81.21
12,15,80.83
12,16,83.54
12,17,81.0
12,18,80.83
12,19,84.29
12,20,80.64
12,21,83.04
12,22,82.99
12,23,84.38
12,24,81.4
12,25,81.04
12,26,82.65
12,27,81.07
12,28,80.84
12,29,83.9
12,30,80.57
12,31,81.31
12,32,80.83
12,33,81.17
12,34,80.64
12,35,81.32
12,36,80.99
12,37,81.53
12,38,0.56
13,1,81.66
13,2,81.17
13,3,81.25
13,4,81.03
13,5,81.06
13,6,81.01
13,7,80.93
13,8,81.16
13,9,81.13
13,10,81.02
13,11,81.56
13,12,81.38
13,13,81.22
13,14,0.71
14,1,83.17
14,2,82.95
14,3,85.42
14,4,83.04
14,5,83.09
14,6,83.61
14,7,82.66
14,8,82.82
14,9,82.8
14,10,83.38
14,11,82.85
14,12,82.78
14,13,84.48
14,14,86.74
14,15,83.0
14,16,82.81
14,17,83.98
14,18,82.87
14,19,82.63
14,20,84.66
14,21,0.53
15,1,81.16
15,2,81.11
15,3,81.51
15,4,80.88
15,5,81.12
15,6,80.94
15,7,80.84
15,8,83.53
15,9,81.66
15,10,82.46
15,11,83.15
15,12,83.44
15,13,81.57
15,14,81.26
15,15,81.05
15,16,81.63
15,17,81.24
15,18,81.42
15,19,81.76
15,20,81.56
15,21,81.82
15,22,81.11
15,23,83.98
15,24,83.1
15,25,81.7
15,26,80.83
15,27,81.06
15,28,81.14
15,29,81.09
15,30,0.51
16,1,84.72
16,2,85.39
16,3,84.84
16,4,82.27
16,5,82.77
16,6,85.51
16,7,81.89
16,8,81.71
16,9,84.57
16,10,83.52
16,11,81.68
16,12,83.64
16,13,81.95
16,14,84.81
16,15,84.3
16,16,82.33
16,17,82.51
16,18,85.37
16,19,81.77
16,20,82.25
16,21,82.02
16,22,87.12
16,23,82.76
16,24,82.15
16,25,82.24
16,26,82.2
16,27,82.57
16,28,82.23
16,29,82.34
16,30,83.02
16,31,82.36
16,32,82.17
16,33,82.47
16,34,84.91
16,35,82.8
16,36,82.23
16,37,82.3
16,38,82.63
16,39,101.75
16,40,82.06
16,41,82.36
16,42,86.72
16,43,82.47
16,44,82.66
16,45,84.69
16,46,84.12
16,47,82.99
16,48,85.52
16,49,82.26
16,50,81.77
16,51,84.24
16,52,82.06
16,53,82.52
16,54,82.17
16,55,85.11
16,56,81.95
16,57,82.11
16,58,86.35
16,59,81.96
16,60,82.12
16,61,81.93
16,62,82.28
16,63,82.2
16,64,82.05
16,65,82.12
16,66,85.14
16,67,81.98
16,68,81.95
16,69,84.44
16,70,81.92
16,71,82.01
16,72,84.81
16,73,83.17
16,74,83.01
16,75,86.25
16,76,82.2
16,77,86.07
16,78,82.23
16,79,82.0
16,80,81.85
16,81,83.41
16,82,82.17
16,83,81.89
16,84,86.42
16,85,82.36
16,86,82.02
16,87,87.63
16,88,82.43
16,89,0.53
17,1,84.2
17,2,81.53
17,3,81.75
17,4,81.84
17,5,83.46
17,6,82.96
17,7,81.34
17,8,83.77
17,9,84.45
17,10,83.17
17,11,82.28
17,12,85.54
17,13,82.08
17,14,81.74
17,15,81.24
17,16,86.36
17,17,81.22
17,18,81.76
17,19,0.49
18,1,82.72
18,2,82.32
18,3,85.85
18,4,82.55
18,5,82.38
18,6,85.71
18,7,82.21
18,8,82.39
18,9,85.98
18,10,82.08
18,11,81.96
18,12,82.37
18,13,84.45
18,14,82.46
18,15,81.78
18,16,85.72
18,17,82.23
18,18,82.63
18,19,82.13
18,20,84.5
18,21,83.0
18,22,84.41
18,23,85.71
18,24,82.86
18,25,84.68
18,26,82.59
18,27,82.46
18,28,88.36
18,29,82.45
18,30,86.39
18,31,82.77
18,32,82.66
18,33,82.67
18,34,90.25
18,35,82.86
18,36,82.41
18,37,85.72
18,38,82.69
18,39,82.66
18,40,83.62
18,41,82.48
18,42,82.42
18,43,0.52
19,1,82.04
19,2,84.89
19,3,81.96
19,4,81.94
19,5,81.35
19,6,81.94
19,7,81.5
19,8,81.75
19,9,82.03
19,10,82.71
19,11,81.84
19,12,81.83
19,13,81.63
19,14,81.98
19,15,81.62
19,16,81.82
19,17,81.76
19,18,82.93
19,19,81.6
19,20,85.95
19,21,81.44
19,22,85.5
19,23,81.69
19,24,82.4
19,25,87.22
19,26,82.33
19,27,82.92
19,28,83.84
19,29,81.66
19,30,0.58
20,1,83.34
20,2,83.06
20,3,85.43
20,4,82.97
20,5,82.4
20,6,84.46
20,7,82.81
20,8,82.87
20,9,84.8
20,10,82.88
20,11,82.59
20,12,85.67
20,13,0.52
21,1,81.43
21,2,81.02
21,3,80.94
21,4,81.35
21,5,81.3
21,6,81.55
21,7,81.03
21,8,80.91
21,9,81.11
21,10,80.99
21,11,82.88
21,12,81.96
21,13,81.05
21,14,80.75
21,15,81.06
21,16,80.93
21,17,81.12
21,18,80.87
21,19,80.77
21,20,81.36
21,21,82.85
21,22,81.28
21,23,81.15
21,24,82.4
21,25,82.57
21,26,80.94
21,27,80.8
21,28,80.87
21,29,80.71
21,30,81.0
21,31,80.83
21,32,81.19
21,33,80.95
21,34,80.59
21,35,81.01
21,36,81.12
21,37,81.23
