question_index,ttft_ms,generate_ms,retrieve_ms,total_ms
1,23821.4,23832.3,39.8,23872.1
2,1472.8,1472.9,27.4,1500.3
3,2688.2,2688.3,21.4,2709.8
4,1466.0,1466.1,21.8,1487.8
5,1675.4,1675.5,17.7,1693.1
6,1346.1,1346.1,18.7,1364.8
7,1666.1,1666.2,18.6,1684.7
8,3005.1,3005.2,21.4,3026.6
9,6777.1,6777.2,22.7,6799.9
10,3361.7,3361.8,21.4,3383.2
11,8387.8,8387.9,23.1,8411.0
12,3206.8,3206.9,20.2,3227.1
13,1218.0,1218.1,20.8,1238.9
14,1921.5,1921.5,18.5,1940.1
15,2541.6,2541.7,18.7,2560.4
16,7562.8,7562.9,17.9,7580.8
17,1773.4,1773.4,18.5,1791.9
18,3854.6,3854.6,19.3,3873.9
19,2699.2,2699.3,21.4,2720.7
20,2400.3,2400.3,18.3,2418.6
21,3558.9,3558.9,19.4,3578.3
22,2217.6,2217.6,19.3,2237.0
23,2311.3,2311.3,18.8,2330.1
24,2070.6,2070.7,18.6,2089.3
25,2253.3,2253.4,17.6,2271.0
26,1242.1,1242.1,20.6,1262.7
27,4293.0,4293.1,18.3,4311.4
28,2735.8,2735.9,20.1,2756.1
29,1367.8,1367.8,19.0,1386.9
30,2019.5,2019.6,22.7,2042.3
31,2711.7,2711.7,17.4,2729.1
32,1557.3,1557.3,18.8,1576.1
33,2818.5,2818.6,19.4,2838.0
34,2006.9,2007.0,17.7,2024.7
35,1291.7,1291.7,18.1,1309.8
36,2299.3,2299.3,21.2,2320.6
37,2860.1,2860.1,20.6,2880.7
38,2203.3,2203.4,19.7,2223.1
39,1772.2,1772.3,21.4,1793.6
40,4543.3,4543.4,17.2,4560.6
41,3552.6,3552.6,19.0,3571.6
42,1187.4,1187.4,17.6,1205.1
43,1450.1,1450.2,17.2,1467.4
44,1565.6,1565.6,17.6,1583.3
45,2875.1,2875.1,18.5,2893.6
46,2494.2,2494.3,16.5,2510.8
47,2014.8,2014.9,19.7,2034.6
48,3194.5,3194.5,18.4,3212.9
49,1721.1,1721.2,25.9,1747.1
50,2869.5,2869.6,21.0,2890.6
51,1782.0,1782.1,19.0,1801.1
52,1825.6,1825.7,22.8,1848.4
53,3068.1,3068.2,17.5,3085.7
54,2549.0,2549.1,22.2,2571.3
55,5176.6,5176.7,23.2,5199.9
56,6566.0,6566.1,18.3,6584.4
57,1164.9,1165.0,22.4,1187.4
58,2040.6,2040.7,18.5,2059.1
59,3491.7,3491.8,16.7,3508.4
60,4860.7,4860.7,21.4,4882.2
61,2575.4,2575.5,19.4,2594.9
62,3441.4,3441.5,18.9,3460.4
63,1639.7,1639.7,20.1,1659.8
64,4348.4,4348.5,21.9,4370.4
65,1825.8,1825.9,21.1,1846.9
66,2524.6,2524.7,18.1,2542.7
67,5767.4,5767.5,18.7,5786.2
68,1879.9,1880.0,17.3,1897.2
69,2485.9,2486.0,17.2,2503.2
70,1679.5,1679.5,17.3,1696.8
71,4962.0,4962.1,20.4,4982.5
72,1197.9,1198.0,16.4,1214.3
73,3989.8,3989.8,19.3,4009.1
74,3170.1,3170.2,19.4,3189.6
75,2240.6,2240.7,20.7,2261.5
76,3878.6,3878.6,17.9,3896.5
77,5504.7,5504.7,17.7,5522.4
78,1841.3,1841.4,18.6,1860.0
79,1937.5,1937.6,18.6,1956.2
80,2738.0,2738.1,18.2,2756.2
81,1799.5,1799.5,16.7,1816.3
82,2875.4,2875.4,18.2,2893.6
83,4906.1,4906.2,18.5,4924.7
84,2162.3,2162.4,17.5,2179.8
85,1774.5,1774.6,26.7,1801.3
86,4571.3,4571.3,23.9,4595.3
87,4839.4,4839.5,16.8,4856.3
88,7858.5,7858.6,17.6,7876.1
89,1645.2,1645.3,19.3,1664.5
90,2291.3,2291.4,19.5,2310.9
91,2843.6,2843.6,18.2,2861.8
92,1903.0,1903.1,17.5,1920.6
93,7450.6,7450.7,17.6,7468.3
94,1750.2,1750.3,19.8,1770.1
95,4689.9,4690.0,17.2,4707.2
