filename,page_index,text_length_ocr,text_length_gt,character_accuracy,character_error_rate,sequence_similarity,jaccard_similarity,table_count_pred,table_count_ref,table_teds,table_structure_similarity,table_content_similarity,table_cell_accuracy,formula_count,formula_average_accuracy,formula_correct_count,composite_score
PPT_1001115_eng_page_003,3,349,364,0.9227,0.0773,0.8976,0.9423,0,0,,,,,,,,92.27
PPT_1001115_eng_page_005,5,414,458,0.864,0.136,0.0138,0.8864,0,0,,,,,,,,86.4
PPT_1001115_eng_page_011,11,514,605,0.8223,0.1777,0.6327,0.9111,0,0,,,,,,,,82.23
PPT_1001115_eng_page_015,15,94,144,0.4861,0.5139,0.6639,0.8235,0,0,,,,,,,,48.61
PPT_11.2013EvaluatingTraineeteacherproficiency_page_010,10,414,421,0.9549,0.0451,0.9293,0.875,0,0,,,,,,,,95.49
PPT_11.2013EvaluatingTraineeteacherproficiency_page_029,29,294,286,0.9476,0.0524,0.8931,1.0,0,0,,,,,,,,94.76
PPT_13 fallacies LALT2012_page_001,1,163,236,0.6864,0.3136,0.807,0.9268,0,0,,,,,,,,68.64
PPT_13 fallacies LALT2012_page_009,9,555,564,0.9752,0.0248,0.8722,0.9024,0,0,,,,,,,,97.52
PPT_13 fallacies LALT2012_page_010,10,1390,13,0.0,1.0,0.0143,0.1408,0,0,,,,,,,,0.0
PPT_1637904769_page_001,1,119,123,0.9593,0.0407,0.9669,1.0,0,0,,,,,,,,95.93
PPT_1637904769_page_002,2,9,179,0.0398,0.9602,0.0745,0.1786,0,0,,,,,,,,3.98
PPT_1637904769_page_008,8,27,191,0.1361,0.8639,0.2385,0.3947,0,0,,,,,,,,13.61
PPT_1637904769_page_017,17,957,958,0.9749,0.0251,0.423,0.9302,0,0,,,,,,,,97.49
PPT_8076_MEYER_Chapter_2_-_Language_Change_page_012,12,0,83,0.0,1.0,0.0,0.0,1,1,100.0,1.0,1.0,1.0,,,,33.33
PPT_8076_MEYER_Chapter_2_-_Language_Change_page_014,14,130,165,0.7879,0.2121,0.8814,0.9524,1,1,100.0,1.0,1.0,1.0,,,,85.86
PPT_8076_MEYER_Chapter_2_-_Language_Change_page_017,17,288,244,0.7049,0.2951,0.2744,0.7826,0,0,,,,,,,,70.49
PPT_8076_MEYER_Chapter_2_-_Language_Change_page_021,21,189,105,0.2,0.8,0.7143,0.8444,0,1,0.0,0.0,0.0,0.0,,,,13.33
